X	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID	gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
1518	LOC100890169	2.7e-41	1.619275482	1	0.54	5.9e-37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	delta	5.87e-72	1.602508615	0.887	0.154	1.28e-67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24363	LOC590448	1.04e-77	1.535733662	0.69	0.082	2.28e-73	uncharacterized protein LOC590448	spu:590448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	isg12	6.43e-43	1.525070368	1	0.54	1.4e-38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	Alx1	5.4e-91	1.477782913	0.972	0.134	1.18e-86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17212	LOC575449	2.76e-39	1.419277161	1	0.95	6.02e-35	late histone H2A.2.1	spu:575449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22534	LOC586069	1.03e-31	1.383463833	0.901	0.446	2.25e-27	LOW QUALITY PROTEIN: uncharacterized protein LOC586069	spu:586069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18351	LOC577531	1.14e-38	1.370108822	0.958	0.56	2.49e-34	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1928	LOC100890824	5.55e-61	1.352128029	0.958	0.2	1.21e-56	RNA binding protein fox-1 homolog 3 isoform X1	spu:100890824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22389	LOC585718	2.2e-88	1.342544366	0.521	0.04	4.8e-84	uncharacterized protein LOC585718 isoform X1	spu:585718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25038	LOC591980	3.37e-41	1.263990279	0.704	0.155	7.35e-37	protein Wnt-16	spu:591980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24520	LOC590815	6.48e-60	1.256964295	0.775	0.137	1.42e-55	forkhead box protein N3	spu:590815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28137	LOC764368	1.36e-30	1.209972486	0.958	0.831	2.96e-26	40S ribosomal protein S8	spu:764368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26324	LOC752328	1.28e-34	1.157547088	0.93	0.475	2.8e-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6994	LOC105444259	3.48e-163	1.157356869	0.592	0.026	7.6e-159	uncharacterized protein LOC105444259	spu:105444259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
