gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	V1	uniprot	u_ev	spurAcc	s_ev	spID02	sp_ecb	sp_sym	dmel	dmel_ev	cel_ID	cel_ev	cel_sym	HitAcc	HitDesc	E.Value
LOC105332878	inactive tyrosine-protein kinase transmembrane receptor ROR1	13	0.242072051525028	0.145240975890007	0.610169491525424	0.396729195554907	0.251752569243598	1.8150233575652e-25	7.22009031546007e-20	lcl|NW_011934577.1_cds_XP_011434021.2_141	sp|Q01973|ROR1_HUMAN	0	XP_030851466.1	2.19e-171	1752385311	ECB-GENE-23131562	LOC115928445	FBgn0010407	7.26e-17	C01G6.8c.1	6.19e-77	cam-1	XP_011434021.2	PREDICTED: inactive tyrosine-protein kinase transmembrane receptor ROR1 isoform X2 [Crassostrea gigas]	0
LOC105332878	inactive tyrosine-protein kinase transmembrane receptor ROR1	13	0.242072051525028	0.145240975890007	0.610169491525424	0.396729195554907	0.251752569243598	1.8150233575652e-25	7.22009031546007e-20	lcl|NW_011934577.1_cds_XP_011434104.2_142	sp|Q01973|ROR1_HUMAN	0	XP_030851466.1	1.32e-174	1752385311	ECB-GENE-23131562	LOC115928445	FBgn0010407	7.17e-17	C01G6.8c.1	5.72e-77	cam-1	XP_011434104.2	PREDICTED: inactive tyrosine-protein kinase transmembrane receptor ROR1 isoform X3 [Crassostrea gigas]	0
LOC105332878	inactive tyrosine-protein kinase transmembrane receptor ROR1	13	0.242072051525028	0.145240975890007	0.610169491525424	0.396729195554907	0.251752569243598	1.8150233575652e-25	7.22009031546007e-20	lcl|NW_011934577.1_cds_XP_011433944.2_143	sp|Q01973|ROR1_HUMAN	0	XP_030851466.1	6.58e-172	1752385311	ECB-GENE-23131562	LOC115928445	FBgn0010407	7.32e-17	C01G6.8c.1	7.45e-77	cam-1	XP_011433944.2	PREDICTED: inactive tyrosine-protein kinase transmembrane receptor ROR1 isoform X1 [Crassostrea gigas]	0
LOC105325769	disks large-associated protein 5	11	0.23949944914977	4.7012066237589	0.986175115207373	0.242856918063084	0.441570219262992	1.68014627397732e-102	6.68355467203081e-97	lcl|NW_011934633.1_cds_XP_011423802.1_458	sp|Q8K4R9|DLGP5_MOUSE	1.61e-34	XP_030829847.1	1.67e-35	1752402920	ECB-GENE-23178310	LOC574582	NA	NA	NA	NA	NA	XP_011423802.1	PREDICTED: disks large-associated protein 5 [Crassostrea gigas]	0
LOC105334834	T-box transcription factor TBX3	5	0.162196905034562	1.11035636244337	0.624793388429752	0.259600866523571	0.173872324858394	2.62739965168452e-70	1.04516907184149e-64	lcl|NW_011934758.1_cds_XP_011436726.1_1638	sp|Q13207|TBX2_HUMAN	5.99e-95	XP_011680189.2	4.47e-122	1752376758	ECB-GENE-23109512	LOC592389	FBgn0052773	3.57e-12	F21H11.3.2	9.34e-85	tbx-2	XP_011436726.1	PREDICTED: T-box transcription factor TBX6 isoform X1 [Crassostrea gigas]	0
LOC105334834	T-box transcription factor TBX3	5	0.162196905034562	1.11035636244337	0.624793388429752	0.259600866523571	0.173872324858394	2.62739965168452e-70	1.04516907184149e-64	lcl|NW_011934758.1_cds_XP_011436735.1_1639	sp|Q13207|TBX2_HUMAN	6.78e-95	XP_011680189.2	4.15e-122	1752376758	ECB-GENE-23109512	LOC592389	FBgn0052773	3.43e-12	F21H11.3.2	9.53e-85	tbx-2	XP_011436726.1	PREDICTED: T-box transcription factor TBX6 isoform X1 [Crassostrea gigas]	0
LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925995.1_1798	sp|Q70FJ1|AKAP9_MOUSE	1.95e-29	XP_030846595.1	1.35e-25	1752373788	ECB-GENE-23103357	LOC582174	NA	NA	NA	NA	NA	XP_019925995.1	PREDICTED: A-kinase anchor protein 9 isoform X5 [Crassostrea gigas]	0
LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925994.1_1799	sp|Q70FJ1|AKAP9_MOUSE	1.96e-29	XP_030846595.1	1.35e-25	1752373788	ECB-GENE-23103357	LOC582174	NA	NA	NA	NA	NA	XP_019925994.1	PREDICTED: A-kinase anchor protein 9 isoform X4 [Crassostrea gigas]	0
LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925991.1_1800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	XP_019925991.1	PREDICTED: A-kinase anchor protein 9 isoform X3 [Crassostrea gigas]	0
LOC105336169	A-kinase anchor protein 9	2	0.171189802252716	2.24351453077495	0.701581027667984	0.244005746309505	0.123948667406918	4.57216505027001e-63	1.81878896833721e-57	lcl|NW_011934767.1_cds_XP_019925987.1_1801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	XP_019925987.1	PREDICTED: A-kinase anchor protein 9 isoform X1 [Crassostrea gigas]	0
