V1.x	V2.x	V11	V1.y	V2.y	V3	V4
lcl|NW_011934501.1_cds_XP_011426503.1_1	XP_030832723.1	8.98e-56	1752410162	XP_030832723	ECB-GENE-23191870	LOC578193
lcl|NW_011934501.1_cds_XP_011434216.1_2	XP_030832723.1	8.98e-56	1752410162	XP_030832723	ECB-GENE-23191870	LOC578193
lcl|NW_011934501.1_cds_XP_011445785.1_3	XP_030832773.1	9.85e-58	1752410315	XP_030832773	ECB-GENE-23191615	LOC105445352
lcl|NW_011934507.1_cds_XP_011423156.1_5	XP_030841873.1	1.42e-65	1752362749	XP_030841873	ECB-GENE-23077166	LOC115924161
lcl|NW_011934512.1_cds_XP_011426108.1_6	XP_003724618.2	2.91e-124	1752396409	XP_003724618	ECB-GENE-23169821	LOC100890319
lcl|NW_011934514.1_cds_XP_011427256.2_7	XP_030834558.1	1.12e-30	1752345229	XP_030834558	ECB-GENE-23032267	LOC752435
lcl|NW_011934516.1_cds_XP_011428421.2_8	XP_030834151.1	3.08e-21	1752344331	XP_030834151	ECB-GENE-23034048	LOC580504
lcl|NW_011934516.1_cds_XP_019923453.1_9	XP_030834151.1	3.08e-21	1752344331	XP_030834151	ECB-GENE-23034048	LOC580504
lcl|NW_011934516.1_cds_XP_019923670.1_10	XP_030834151.1	3.08e-21	1752344331	XP_030834151	ECB-GENE-23034048	LOC580504
lcl|NW_011934520.1_cds_XP_011430737.1_12	XP_011671541.2	5.33e-49	1752363087	XP_011671541	ECB-GENE-23077929	LOC105441784
lcl|NW_011934520.1_cds_XP_011429578.1_13	XP_030828001.1	3.01e-163	1752398073	XP_030828001	ECB-GENE-23167557	LOC115919156
lcl|NW_011934525.1_cds_XP_011434217.1_14	XP_030853898.1	2.63e-26	1752390927	XP_030853898	ECB-GENE-23140841	LOC100888092
lcl|NW_011934525.1_cds_XP_011436541.1_15	XP_030853898.1	3.65e-26	1752390927	XP_030853898	ECB-GENE-23140841	LOC100888092
lcl|NW_011934525.1_cds_XP_011432688.1_16	XP_030853898.1	3.5e-26	1752390927	XP_030853898	ECB-GENE-23140841	LOC100888092
lcl|NW_011934525.1_cds_XP_011433459.1_17	XP_030853898.1	7.1e-24	1752390927	XP_030853898	ECB-GENE-23140841	LOC100888092
lcl|NW_011934525.1_cds_XP_011434994.1_18	XP_030853898.1	2.45e-23	1752390927	XP_030853898	ECB-GENE-23140841	LOC100888092
lcl|NW_011934525.1_cds_XP_011435774.1_19	XP_030853898.1	2.45e-23	1752390927	XP_030853898	ECB-GENE-23140841	LOC100888092
lcl|NW_011934527.1_cds_XP_011437695.1_20	XP_030836439.1	2.34e-65	1752349776	XP_030836439	ECB-GENE-23044664	LOC586140
lcl|NW_011934528.1_cds_XP_019926840.1_21	XP_793542.2	0	1752398257	XP_793542	ECB-GENE-23169654	LOC588782
lcl|NW_011934530.1_cds_XP_011443863.1_22	XP_030850384.1	4.63e-29	1752382733	XP_030850384	ECB-GENE-23126395	LOC115928023
lcl|NW_011934533.1_cds_XP_019929118.1_28	XP_030843144.1	2.83e-105	1752365914	XP_030843144	ECB-GENE-23086051	LOC587186
lcl|NW_011934533.1_cds_XP_011446188.1_29	XP_030843144.1	2.83e-105	1752365914	XP_030843144	ECB-GENE-23086051	LOC587186
lcl|NW_011934533.1_cds_XP_011446961.1_30	XP_030843144.1	2.83e-105	1752365914	XP_030843144	ECB-GENE-23086051	LOC587186
lcl|NW_011934533.1_cds_XP_011447717.1_31	XP_030843144.1	2.83e-105	1752365914	XP_030843144	ECB-GENE-23086051	LOC587186
lcl|NW_011934533.1_cds_XP_011448856.1_32	XP_030834480.1	1.65e-110	1752335820	XP_030834480	ECB-GENE-23010987	LOC115921284
lcl|NW_011934533.1_cds_XP_011449976.1_33	XP_030833135.1	0	1752411232	XP_030833135	ECB-GENE-23191701	LOC592801
lcl|NW_011934534.1_cds_XP_011452277.1_35	XP_793909.2	6.69e-147	1752406709	XP_793909	ECB-GENE-23181730	LOC589166
lcl|NW_011934534.1_cds_XP_011453429.1_36	XP_030840515.1	0	1752337193	XP_030840515	ECB-GENE-23014263	LOC588382
lcl|NW_011934535.1_cds_XP_019918435.1_37	NP_001116980.1	4.04e-23	184186115	NP_001116980	ECB-GENE-23039384	H2A.F/Z
lcl|NW_011934547.1_cds_XP_011423879.2_53	XP_011674151.1	3.67e-28	780092013	XP_011674151	ECB-GENE-23193362	LOC764011
lcl|NW_011934548.1_cds_XP_011424376.1_54	XP_030854474.1	6.45e-154	1752392404	XP_030854474	ECB-GENE-23148743	LOC589274
lcl|NW_011934548.1_cds_XP_019922042.1_55	XP_030854474.1	5.2e-154	1752392404	XP_030854474	ECB-GENE-23148743	LOC589274
lcl|NW_011934548.1_cds_XP_011424190.1_56	XP_030854339.1	0	1752392082	XP_030854339	ECB-GENE-23148530	LOC115929485
lcl|NW_011934548.1_cds_XP_011424499.1_57	XP_030855314.1	0	1752394637	XP_030855314	ECB-GENE-23147488	LOC578370
lcl|NW_011934548.1_cds_XP_011424582.1_58	XP_030855314.1	0	1752394637	XP_030855314	ECB-GENE-23147488	LOC578370
lcl|NW_011934551.1_cds_XP_011424700.1_59	XP_030833172.1	6.08e-43	1752411315	XP_030833172	ECB-GENE-23190039	LOC590654
lcl|NW_011934555.1_cds_XP_011425356.1_65	XP_003728056.1	0	390353191	XP_003728056	ECB-GENE-23146487	LOC592971
lcl|NW_011934555.1_cds_XP_011425276.1_66	XP_003728056.1	0	390353191	XP_003728056	ECB-GENE-23146487	LOC592971
lcl|NW_011934556.1_cds_XP_011425650.1_68	XP_011671541.2	8.8e-34	1752363087	XP_011671541	ECB-GENE-23077929	LOC105441784
lcl|NW_011934557.1_cds_XP_011425759.1_69	XP_001175504.1	1.54e-107	115911735	XP_001175504	ECB-GENE-23147668	LOC752151
lcl|NW_011934557.1_cds_XP_011425871.1_70	XP_030854618.1	3.97e-91	1752392750	XP_030854618	ECB-GENE-23152232	LOC578197
lcl|NW_011934557.1_cds_NP_001292274.1_71	XP_783271.3	7.46e-46	390342594	XP_783271	ECB-GENE-23148902	LOC577982
lcl|NW_011934558.1_cds_XP_011426724.1_72	XP_030846947.1	1.98e-147	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_019922849.1_73	XP_030846947.1	1.19e-149	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426580.1_74	XP_030846947.1	1.95e-153	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426427.1_75	XP_030846947.1	1.25e-151	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426504.1_76	XP_030846947.1	5.36e-149	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426352.1_77	XP_030846947.1	2.17e-143	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426269.1_78	XP_030846947.1	2.48e-144	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426189.1_79	XP_030846947.1	3.95e-147	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426653.1_80	XP_030846947.1	3.38e-147	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426109.1_81	XP_030846947.1	3.96e-147	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426803.1_82	XP_030846947.1	2.5e-147	1752374564	XP_030846947	ECB-GENE-23108490	LOC588549
lcl|NW_011934558.1_cds_XP_011426919.1_83	XP_030831108.1	0	1752341815	XP_030831108	ECB-GENE-23025992	LOC577393
